symbol,date,open,high,low,close,volume,adjclose,dividends,splits
DRV,2009-07-15 20:00:00-04:00,310450.0,313150.0,288400.0,294400.0,0,269397.375,0.0,0.0
DRV,2009-07-16 20:00:00-04:00,312250.0,320150.0,310850.0,314500.0,0,287790.3125,0.0,0.0
DRV,2009-07-19 20:00:00-04:00,295900.0,301300.0,279250.0,281250.0,0,257364.1875,0.0,0.0
DRV,2009-07-20 20:00:00-04:00,276650.0,301600.0,276400.0,285050.0,0,260841.484375,0.0,0.0
DRV,2009-07-21 20:00:00-04:00,296550.0,296550.0,272500.0,282200.0,0,258233.53125,0.0,0.0
DRV,2009-07-22 20:00:00-04:00,281250.0,285200.0,240200.0,250000.0,0,228768.15625,0.0,0.0
DRV,2009-07-23 20:00:00-04:00,255050.0,263000.0,242350.0,244300.0,0,223552.25,0.0,0.0
DRV,2009-07-26 20:00:00-04:00,243950.0,249900.0,232350.0,233350.0,11,213532.171875,0.0,0.0
DRV,2009-07-27 20:00:00-04:00,238600.0,243600.0,232050.0,235100.0,9,215133.578125,0.0,0.0
DRV,2009-07-28 20:00:00-04:00,240000.0,248150.0,235500.0,242750.0,7,222133.875,0.0,0.0
DRV,2009-07-29 20:00:00-04:00,229800.0,231650.0,205300.0,216800.0,13,198387.734375,0.0,0.0
DRV,2009-07-30 20:00:00-04:00,217800.0,223200.0,211600.0,215900.0,7,197564.15625,0.0,0.0
DRV,2009-08-02 20:00:00-04:00,203050.0,215500.0,202450.0,204850.0,7,187452.609375,0.0,0.0
DRV,2009-08-03 20:00:00-04:00,209300.0,212450.0,167400.0,172400.0,36,157758.5,0.0,0.0
DRV,2009-08-04 20:00:00-04:00,172150.0,174650.0,149650.0,151500.0,34,138633.5,0.0,0.0
DRV,2009-08-05 20:00:00-04:00,145600.0,154700.0,134200.0,154600.0,64,141470.21875,0.0,0.0
DRV,2009-08-06 20:00:00-04:00,143600.0,151100.0,120150.0,129400.0,164,118410.3984375,0.0,0.0
DRV,2009-08-09 20:00:00-04:00,130850.0,142050.0,130450.0,138450.0,52,126691.8125,0.0,0.0
DRV,2009-08-10 20:00:00-04:00,142500.0,154750.0,141050.0,150350.0,73,137581.140625,0.0,0.0
DRV,2009-08-11 20:00:00-04:00,149500.0,149500.0,137400.0,145800.0,89,133417.578125,0.0,0.0
DRV,2009-08-12 20:00:00-04:00,141850.0,149700.0,140000.0,144300.0,73,132044.96875,0.0,0.0
DRV,2009-08-13 20:00:00-04:00,146050.0,158250.0,146050.0,148450.0,38,135842.53125,0.0,0.0
DRV,2009-08-16 20:00:00-04:00,165500.0,174550.0,164200.0,172750.0,61,158078.796875,0.0,0.0
DRV,2009-08-17 20:00:00-04:00,168400.0,173050.0,160350.0,166450.0,45,152313.8125,0.0,0.0
DRV,2009-08-18 20:00:00-04:00,174800.0,177850.0,167650.0,170650.0,50,156157.1875,0.0,0.0
DRV,2009-08-19 20:00:00-04:00,169700.0,170400.0,149000.0,149100.0,56,136437.3125,0.0,0.0
DRV,2009-08-20 20:00:00-04:00,143500.0,145300.0,128350.0,138000.0,109,126280.015625,0.0,0.0
DRV,2009-08-23 20:00:00-04:00,132450.0,141000.0,131850.0,139800.0,47,127927.15625,0.0,0.0
DRV,2009-08-24 20:00:00-04:00,135800.0,139250.0,131200.0,134700.0,52,123260.2890625,0.0,0.0
DRV,2009-08-25 20:00:00-04:00,135100.0,138900.0,132750.0,132900.0,43,121613.140625,0.0,0.0
DRV,2009-08-26 20:00:00-04:00,133350.0,141250.0,128400.0,129250.0,65,118273.1171875,0.0,0.0
DRV,2009-08-27 20:00:00-04:00,126100.0,132500.0,124450.0,126000.0,54,115299.1484375,0.0,0.0
DRV,2009-08-30 20:00:00-04:00,132550.0,135500.0,129000.0,131800.0,52,120606.5625,0.0,0.0
DRV,2009-08-31 20:00:00-04:00,134650.0,153200.0,131400.0,152650.0,86,139685.796875,0.0,0.0
DRV,2009-09-01 20:00:00-04:00,157200.0,161900.0,153200.0,161850.0,95,148104.484375,0.0,0.0
DRV,2009-09-02 20:00:00-04:00,155850.0,165100.0,151950.0,152050.0,77,139136.78125,0.0,0.0
DRV,2009-09-03 20:00:00-04:00,152300.0,160500.0,147300.0,147300.0,53,134790.1875,0.0,0.0
DRV,2009-09-07 20:00:00-04:00,140000.0,143400.0,131450.0,132050.0,95,120835.34375,0.0,0.0
DRV,2009-09-08 20:00:00-04:00,131650.0,134850.0,122550.0,123450.0,116,112965.7265625,0.0,0.0
DRV,2009-09-09 20:00:00-04:00,124200.0,129450.0,117750.0,117800.0,88,107795.5546875,0.0,0.0
DRV,2009-09-10 20:00:00-04:00,116000.0,123400.0,114500.0,119500.0,72,109351.1796875,0.0,0.0
DRV,2009-09-13 20:00:00-04:00,123000.0,124300.0,108050.0,108300.0,98,99102.3671875,0.0,0.0
DRV,2009-09-14 20:00:00-04:00,106100.0,112500.0,98400.0,102950.0,184,94206.71875,0.0,0.0
DRV,2009-09-15 20:00:00-04:00,100300.0,101450.0,90050.0,90600.0,155,82905.5625,0.0,0.0
DRV,2009-09-16 20:00:00-04:00,90850.0,95750.0,81150.0,91500.0,292,83729.1484375,0.0,0.0
DRV,2009-09-17 20:00:00-04:00,90200.0,96250.0,87650.0,90900.0,151,83180.09375,0.0,0.0
DRV,2009-09-20 20:00:00-04:00,95100.0,97350.0,92300.0,95300.0,184,87206.4140625,0.0,0.0
DRV,2009-09-21 20:00:00-04:00,92300.0,93300.0,86000.0,86250.0,179,78925.0078125,0.0,0.0
DRV,2009-09-22 20:00:00-04:00,85350.0,96050.0,85200.0,95750.0,259,87618.1875,0.0,0.0
DRV,2009-09-23 20:00:00-04:00,93650.0,107650.0,92500.0,105900.0,442,96906.203125,0.0,0.0
DRV,2009-09-24 20:00:00-04:00,108250.0,111000.0,101250.0,105150.0,383,96219.875,0.0,0.0
DRV,2009-09-27 20:00:00-04:00,102700.0,103750.0,91450.0,91700.0,304,83912.1484375,0.0,0.0
DRV,2009-09-28 20:00:00-04:00,91400.0,97000.0,88850.0,95950.0,234,87801.21875,0.0,0.0
DRV,2009-09-29 20:00:00-04:00,94300.0,102950.0,93350.0,98650.0,406,90271.8984375,0.0,0.0
DRV,2009-09-30 20:00:00-04:00,99750.0,111950.0,99250.0,111450.0,349,101984.84375,0.0,0.0
DRV,2009-10-01 20:00:00-04:00,120250.0,120300.0,104800.0,114600.0,396,104867.3125,0.0,0.0
DRV,2009-10-04 20:00:00-04:00,110700.0,113600.0,104000.0,105250.0,261,96311.3828125,0.0,0.0
DRV,2009-10-05 20:00:00-04:00,101900.0,110000.0,98000.0,105050.0,392,96128.3671875,0.0,0.0
DRV,2009-10-06 20:00:00-04:00,106850.0,110450.0,103350.0,106050.0,225,97043.4453125,0.0,0.0
DRV,2009-10-07 20:00:00-04:00,102050.0,103700.0,97400.0,100150.0,339,91644.5234375,0.0,0.0
DRV,2009-10-08 20:00:00-04:00,101500.0,104000.0,97200.0,97600.0,239,89311.078125,0.0,0.0
DRV,2009-10-11 20:00:00-04:00,95500.0,99250.0,94250.0,97700.0,183,89402.59375,0.0,0.0
DRV,2009-10-12 20:00:00-04:00,99700.0,104300.0,98400.0,102250.0,223,93566.1640625,0.0,0.0
DRV,2009-10-13 20:00:00-04:00,96000.0,98050.0,89500.0,90250.0,365,82585.3046875,0.0,0.0
DRV,2009-10-14 20:00:00-04:00,93300.0,94500.0,91900.0,92800.0,249,84918.734375,0.0,0.0
DRV,2009-10-15 20:00:00-04:00,96800.0,100850.0,95800.0,99800.0,274,91324.25,0.0,0.0
DRV,2009-10-18 20:00:00-04:00,98400.0,99900.0,93100.0,93850.0,382,85879.5625,0.0,0.0
DRV,2009-10-19 20:00:00-04:00,94050.0,100350.0,94000.0,99450.0,306,91003.96875,0.0,0.0
DRV,2009-10-20 20:00:00-04:00,100950.0,103400.0,94300.0,102900.0,410,94160.9609375,0.0,0.0
DRV,2009-10-21 20:00:00-04:00,102650.0,107400.0,94350.0,94550.0,569,86520.109375,0.0,0.0
DRV,2009-10-22 20:00:00-04:00,93850.0,99350.0,93300.0,97800.0,432,89494.109375,0.0,0.0
DRV,2009-10-25 20:00:00-04:00,98050.0,99250.0,90750.0,98650.0,635,90271.8984375,0.0,0.0
DRV,2009-10-26 20:00:00-04:00,98500.0,104200.0,97050.0,103100.0,452,94343.984375,0.0,0.0
