symbol,date,open,high,low,close,volume,adjclose,dividends
PLPC,1999-04-27 20:00:00-04:00,18.25,18.25,18.25,18.25,100,11.492361068725586,0.0
PLPC,1999-04-28 20:00:00-04:00,18.25,18.25,18.25,18.25,0,11.492361068725586,0.0
PLPC,1999-04-29 20:00:00-04:00,19.0,19.0,19.0,19.0,2000,11.964646339416504,0.0
PLPC,1999-05-02 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-05-03 20:00:00-04:00,20.25,20.25,20.25,20.25,200,12.75180435180664,0.0
PLPC,1999-05-04 20:00:00-04:00,20.25,20.25,20.25,20.25,0,12.75180435180664,0.0
PLPC,1999-05-05 20:00:00-04:00,20.25,20.25,20.25,20.25,0,12.75180435180664,0.0
PLPC,1999-05-06 20:00:00-04:00,20.25,20.25,20.25,20.25,0,12.75180435180664,0.0
PLPC,1999-05-09 20:00:00-04:00,20.25,20.25,20.25,20.25,0,12.75180435180664,0.0
PLPC,1999-05-10 20:00:00-04:00,20.75,20.75,20.75,20.75,200,13.066658973693848,0.0
PLPC,1999-05-11 20:00:00-04:00,20.75,20.75,20.75,20.75,0,13.066658973693848,0.0
PLPC,1999-05-12 20:00:00-04:00,20.75,20.75,20.75,20.75,0,13.066658973693848,0.0
PLPC,1999-05-13 20:00:00-04:00,20.75,20.75,20.75,20.75,0,13.066658973693848,0.0
PLPC,1999-05-16 20:00:00-04:00,20.75,20.75,20.75,20.75,0,13.066658973693848,0.0
PLPC,1999-05-17 20:00:00-04:00,20.75,20.75,20.75,20.75,0,13.066658973693848,0.0
PLPC,1999-05-18 20:00:00-04:00,20.75,20.75,20.75,20.75,0,13.066658973693848,0.0
PLPC,1999-05-19 20:00:00-04:00,19.75,19.75,19.75,19.75,2400,12.43693733215332,0.0
PLPC,1999-05-20 20:00:00-04:00,19.75,19.75,19.75,19.75,0,12.43693733215332,0.0
PLPC,1999-05-23 20:00:00-04:00,19.75,19.75,19.75,19.75,0,12.43693733215332,0.0
PLPC,1999-05-24 20:00:00-04:00,19.75,19.75,19.75,19.75,0,12.43693733215332,0.0
PLPC,1999-05-25 20:00:00-04:00,19.0,19.0,18.25,18.5,3200,11.649787902832031,0.0
PLPC,1999-05-26 20:00:00-04:00,21.0,21.0,21.0,21.0,200,13.224084854125977,0.0
PLPC,1999-05-27 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-05-31 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-01 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-02 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-03 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-06 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-07 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-08 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-09 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-10 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-13 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-14 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-15 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-16 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-17 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-20 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-21 20:00:00-04:00,21.0,21.0,21.0,21.0,0,13.224084854125977,0.0
PLPC,1999-06-22 20:00:00-04:00,19.0,20.25,19.0,20.25,700,12.75180435180664,0.0
PLPC,1999-06-23 20:00:00-04:00,20.25,20.25,20.25,20.25,500,12.75180435180664,0.0
PLPC,1999-06-24 20:00:00-04:00,19.25,19.25,19.25,19.25,300,12.12208366394043,0.0
PLPC,1999-06-27 20:00:00-04:00,19.0,19.5,18.25,18.5,11100,11.649787902832031,0.0
PLPC,1999-06-28 20:00:00-04:00,18.75,19.0,18.75,19.0,800,11.964646339416504,0.0
PLPC,1999-06-29 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-06-30 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-07-01 20:00:00-04:00,19.0,19.0,19.0,19.0,500,11.964646339416504,0.0
PLPC,1999-07-05 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-07-06 20:00:00-04:00,19.0,19.046875,19.0,19.046875,72400,11.994173049926758,0.0
PLPC,1999-07-07 20:00:00-04:00,19.046875,19.046875,19.046875,19.046875,0,11.994173049926758,0.0
PLPC,1999-07-08 20:00:00-04:00,19.0,19.5,19.0,19.0,500,11.964646339416504,0.0
PLPC,1999-07-11 20:00:00-04:00,19.0,19.0,19.0,19.0,700,11.964646339416504,0.0
PLPC,1999-07-12 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-07-13 20:00:00-04:00,19.5,19.5,19.0,19.0,600,11.964646339416504,0.0
PLPC,1999-07-14 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-07-15 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-07-18 20:00:00-04:00,19.0,19.046875,19.0,19.046875,178600,11.994173049926758,0.0
PLPC,1999-07-19 20:00:00-04:00,19.046875,19.046875,19.046875,19.046875,0,11.994173049926758,0.0
PLPC,1999-07-20 20:00:00-04:00,18.75,18.75,18.75,18.75,200,11.807218551635742,0.0
PLPC,1999-07-21 20:00:00-04:00,18.75,18.75,18.75,18.75,0,11.807218551635742,0.0
PLPC,1999-07-22 20:00:00-04:00,18.75,18.75,18.75,18.75,0,11.807218551635742,0.0
PLPC,1999-07-25 20:00:00-04:00,19.5,19.5,19.5,19.5,300,12.279508590698242,0.0
PLPC,1999-07-26 20:00:00-04:00,19.5,19.5,19.5,19.5,0,12.279508590698242,0.0
PLPC,1999-07-27 20:00:00-04:00,19.5,19.5,19.5,19.5,200,12.279508590698242,0.0
PLPC,1999-07-28 20:00:00-04:00,19.5,19.5,19.5,19.5,0,12.279508590698242,0.0
PLPC,1999-07-29 20:00:00-04:00,19.5,19.5,19.5,19.5,0,12.279508590698242,0.0
PLPC,1999-08-01 20:00:00-04:00,19.5,19.5,19.0,19.0,800,11.964646339416504,0.0
PLPC,1999-08-02 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-03 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-04 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-05 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-08 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
PLPC,1999-08-09 20:00:00-04:00,19.0,19.0,19.0,19.0,0,11.964646339416504,0.0
