symbol,date,open,high,low,close,volume,adjclose
HZO,1998-06-02 20:00:00-04:00,12.5,13.0,12.5,12.5625,843700,12.5625
HZO,1998-06-03 20:00:00-04:00,12.5625,13.0,12.5625,12.875,103600,12.875
HZO,1998-06-04 20:00:00-04:00,13.125,14.1875,13.125,13.75,103000,13.75
HZO,1998-06-07 20:00:00-04:00,13.875,14.0,13.4375,13.4375,56900,13.4375
HZO,1998-06-08 20:00:00-04:00,13.4375,13.4375,12.875,13.375,48400,13.375
HZO,1998-06-09 20:00:00-04:00,13.25,13.25,12.75,12.75,32600,12.75
HZO,1998-06-10 20:00:00-04:00,12.75,12.75,12.5,12.625,32600,12.625
HZO,1998-06-11 20:00:00-04:00,12.75,12.75,12.5,12.5625,53500,12.5625
HZO,1998-06-14 20:00:00-04:00,12.5,12.75,12.5,12.5,21100,12.5
HZO,1998-06-15 20:00:00-04:00,12.5625,12.75,12.5,12.75,99800,12.75
HZO,1998-06-16 20:00:00-04:00,12.625,12.625,12.5,12.625,46200,12.625
HZO,1998-06-17 20:00:00-04:00,12.5625,12.625,12.5,12.5,58300,12.5
HZO,1998-06-18 20:00:00-04:00,12.5,12.5625,12.5,12.5,87500,12.5
HZO,1998-06-21 20:00:00-04:00,12.5,12.6875,12.5,12.625,43400,12.625
HZO,1998-06-22 20:00:00-04:00,12.625,12.75,12.5,12.625,11500,12.625
HZO,1998-06-23 20:00:00-04:00,12.5625,12.625,12.5,12.5,11900,12.5
HZO,1998-06-24 20:00:00-04:00,12.5,12.5,12.5,12.5,22200,12.5
HZO,1998-06-25 20:00:00-04:00,12.5,12.625,12.5,12.5,83400,12.5
HZO,1998-06-28 20:00:00-04:00,12.5,12.5625,12.5,12.5,13400,12.5
HZO,1998-06-29 20:00:00-04:00,12.5,12.625,12.375,12.375,101300,12.375
HZO,1998-06-30 20:00:00-04:00,12.3125,12.375,12.25,12.25,35300,12.25
HZO,1998-07-01 20:00:00-04:00,12.125,12.125,12.0,12.0,47200,12.0
HZO,1998-07-05 20:00:00-04:00,12.0,12.25,12.0,12.0,29000,12.0
HZO,1998-07-06 20:00:00-04:00,12.0,12.25,12.0,12.0,18300,12.0
HZO,1998-07-07 20:00:00-04:00,12.0,12.375,12.0,12.25,27000,12.25
HZO,1998-07-08 20:00:00-04:00,12.125,12.25,12.0,12.125,14000,12.125
HZO,1998-07-09 20:00:00-04:00,12.0,12.0625,12.0,12.0,24300,12.0
HZO,1998-07-12 20:00:00-04:00,12.0,12.0,11.875,11.9375,14800,11.9375
HZO,1998-07-13 20:00:00-04:00,11.8125,11.8125,10.375,10.625,186600,10.625
HZO,1998-07-14 20:00:00-04:00,11.25,11.5625,11.25,11.5,33300,11.5
HZO,1998-07-15 20:00:00-04:00,11.5,11.625,11.375,11.5,4900,11.5
HZO,1998-07-16 20:00:00-04:00,11.625,12.0,11.625,11.8125,22400,11.8125
HZO,1998-07-19 20:00:00-04:00,12.0,12.0,11.6875,11.8125,14800,11.8125
HZO,1998-07-20 20:00:00-04:00,12.0,12.0,11.75,11.75,35100,11.75
HZO,1998-07-21 20:00:00-04:00,11.6875,12.0,11.5625,11.875,23000,11.875
HZO,1998-07-22 20:00:00-04:00,11.9375,11.9375,11.5625,11.5625,7800,11.5625
HZO,1998-07-23 20:00:00-04:00,11.5,11.5,11.0,11.125,35700,11.125
HZO,1998-07-26 20:00:00-04:00,11.0,11.0,10.625,10.8125,24700,10.8125
HZO,1998-07-27 20:00:00-04:00,11.0,11.125,10.8125,10.875,29000,10.875
HZO,1998-07-28 20:00:00-04:00,11.0625,11.0625,10.75,10.9375,10000,10.9375
HZO,1998-07-29 20:00:00-04:00,10.8125,10.8125,10.375,10.625,9900,10.625
HZO,1998-07-30 20:00:00-04:00,10.5,10.75,10.5,10.75,19200,10.75
HZO,1998-08-02 20:00:00-04:00,10.625,10.875,10.625,10.875,13100,10.875
HZO,1998-08-03 20:00:00-04:00,10.875,10.875,9.5,9.5,34400,9.5
HZO,1998-08-04 20:00:00-04:00,9.5625,9.9375,9.3125,9.9375,37200,9.9375
HZO,1998-08-05 20:00:00-04:00,10.0,10.1875,10.0,10.1875,10700,10.1875
HZO,1998-08-06 20:00:00-04:00,10.0625,10.3125,9.9375,10.0625,31900,10.0625
HZO,1998-08-09 20:00:00-04:00,9.9375,9.9375,9.5,9.5,23100,9.5
HZO,1998-08-10 20:00:00-04:00,9.0625,9.1875,8.6875,9.125,29600,9.125
HZO,1998-08-11 20:00:00-04:00,9.0,9.0625,9.0,9.0625,17700,9.0625
HZO,1998-08-12 20:00:00-04:00,9.0,9.0,8.8125,8.8125,7500,8.8125
HZO,1998-08-13 20:00:00-04:00,8.8125,8.9375,8.1875,8.4375,15100,8.4375
HZO,1998-08-16 20:00:00-04:00,8.375,8.5,8.0,8.5,26400,8.5
HZO,1998-08-17 20:00:00-04:00,8.375,8.375,8.25,8.375,6100,8.375
HZO,1998-08-18 20:00:00-04:00,8.25,8.625,8.25,8.5,31900,8.5
HZO,1998-08-19 20:00:00-04:00,8.5,8.875,8.5,8.875,44300,8.875
HZO,1998-08-20 20:00:00-04:00,8.5625,8.625,8.3125,8.375,34500,8.375
HZO,1998-08-23 20:00:00-04:00,8.5,8.5625,8.25,8.5625,22000,8.5625
HZO,1998-08-24 20:00:00-04:00,8.625,9.125,8.625,9.0,13800,9.0
HZO,1998-08-25 20:00:00-04:00,8.875,8.875,8.5,8.625,31500,8.625
HZO,1998-08-26 20:00:00-04:00,8.5,8.5,8.125,8.25,8300,8.25
HZO,1998-08-27 20:00:00-04:00,8.25,8.75,8.25,8.375,18800,8.375
HZO,1998-08-30 20:00:00-04:00,8.375,8.5,8.0,8.0,8600,8.0
HZO,1998-08-31 20:00:00-04:00,7.875,7.9375,7.5625,7.5625,12800,7.5625
HZO,1998-09-01 20:00:00-04:00,7.5625,7.8125,7.5625,7.8125,1400,7.8125
HZO,1998-09-02 20:00:00-04:00,7.75,7.75,7.5625,7.625,6400,7.625
HZO,1998-09-03 20:00:00-04:00,7.6875,8.25,7.6875,8.1875,9900,8.1875
HZO,1998-09-07 20:00:00-04:00,8.3125,8.9375,8.3125,8.9375,12400,8.9375
HZO,1998-09-08 20:00:00-04:00,8.9375,9.3125,8.9375,9.125,10300,9.125
HZO,1998-09-09 20:00:00-04:00,9.0,9.0,8.75,9.0,9200,9.0
HZO,1998-09-10 20:00:00-04:00,8.75,8.8125,8.6875,8.6875,8600,8.6875
HZO,1998-09-13 20:00:00-04:00,8.75,8.8125,8.625,8.75,8300,8.75
HZO,1998-09-14 20:00:00-04:00,8.75,9.25,8.75,9.125,5000,9.125
HZO,1998-09-15 20:00:00-04:00,9.125,9.125,8.75,8.8125,15500,8.8125
HZO,1998-09-16 20:00:00-04:00,8.875,9.375,8.875,9.375,7600,9.375
HZO,1998-09-17 20:00:00-04:00,9.25,10.0,9.25,9.9375,8000,9.9375
HZO,1998-09-20 20:00:00-04:00,10.0,10.3125,10.0,10.0,32400,10.0
HZO,1998-09-21 20:00:00-04:00,10.125,10.125,9.875,9.9375,7400,9.9375
HZO,1998-09-22 20:00:00-04:00,10.0,10.0,9.75,10.0,4100,10.0
HZO,1998-09-23 20:00:00-04:00,10.0,10.0,9.875,9.875,2100,9.875
HZO,1998-09-24 20:00:00-04:00,10.0,10.0,9.75,9.75,5200,9.75
HZO,1998-09-27 20:00:00-04:00,9.8125,10.0,9.8125,9.9375,4200,9.9375
HZO,1998-09-28 20:00:00-04:00,9.875,9.875,9.75,9.8125,2100,9.8125
HZO,1998-09-29 20:00:00-04:00,9.6875,9.6875,9.1875,9.25,13500,9.25
HZO,1998-09-30 20:00:00-04:00,9.125,9.125,9.0,9.0625,9200,9.0625
HZO,1998-10-01 20:00:00-04:00,9.0625,9.0625,9.0625,9.0625,1000,9.0625
HZO,1998-10-04 20:00:00-04:00,8.9375,8.9375,8.75,8.8125,9000,8.8125
HZO,1998-10-05 20:00:00-04:00,8.75,8.75,8.5625,8.625,3500,8.625
HZO,1998-10-06 20:00:00-04:00,8.5,8.5,8.375,8.5,1800,8.5
HZO,1998-10-07 20:00:00-04:00,8.5,8.5,8.125,8.125,7100,8.125
HZO,1998-10-08 20:00:00-04:00,8.25,8.25,7.625,7.75,12800,7.75
HZO,1998-10-11 20:00:00-04:00,7.875,8.125,7.875,8.0,3800,8.0
HZO,1998-10-12 20:00:00-04:00,8.125,8.125,7.5625,7.625,8900,7.625
HZO,1998-10-13 20:00:00-04:00,7.625,7.75,7.3125,7.3125,6000,7.3125
HZO,1998-10-14 20:00:00-04:00,7.375,8.25,7.375,8.25,24100,8.25
HZO,1998-10-15 20:00:00-04:00,8.125,8.375,8.125,8.1875,4100,8.1875
HZO,1998-10-18 20:00:00-04:00,8.3125,8.3125,8.1875,8.3125,1300,8.3125
HZO,1998-10-19 20:00:00-04:00,8.4375,8.4375,8.4375,8.4375,1700,8.4375
HZO,1998-10-20 20:00:00-04:00,8.4375,8.4375,8.375,8.4375,2800,8.4375
HZO,1998-10-21 20:00:00-04:00,8.3125,8.5,8.3125,8.4375,6400,8.4375
HZO,1998-10-22 20:00:00-04:00,8.3125,8.3125,7.875,8.125,12400,8.125
HZO,1998-10-25 19:00:00-05:00,8.0625,8.125,7.9375,8.0,5800,8.0
HZO,1998-10-26 19:00:00-05:00,7.9375,8.0,7.9375,8.0,15200,8.0
HZO,1998-10-27 19:00:00-05:00,8.0,8.125,8.0,8.125,4500,8.125
HZO,1998-10-28 19:00:00-05:00,8.0,8.0,7.75,7.875,18600,7.875
HZO,1998-10-29 19:00:00-05:00,7.875,8.0,7.875,8.0,7800,8.0
HZO,1998-11-01 19:00:00-05:00,8.0,8.0,7.75,7.9375,4700,7.9375
HZO,1998-11-02 19:00:00-05:00,7.9375,7.9375,7.625,7.9375,9700,7.9375
HZO,1998-11-03 19:00:00-05:00,8.0,8.0,7.9375,7.9375,9600,7.9375
HZO,1998-11-04 19:00:00-05:00,7.8125,7.9375,7.8125,7.9375,1300,7.9375
HZO,1998-11-05 19:00:00-05:00,7.875,8.0,7.875,8.0,29000,8.0
HZO,1998-11-08 19:00:00-05:00,8.0,8.0,7.875,7.875,4500,7.875
HZO,1998-11-09 19:00:00-05:00,8.0,8.0,7.875,7.9375,23000,7.9375
HZO,1998-11-10 19:00:00-05:00,7.9375,8.0,7.875,7.9375,37300,7.9375
