symbol,date,open,high,low,close,volume,adjclose,splits
MD,1995-09-19 20:00:00-04:00,5.375,5.5625,5.125,5.34375,15645600,5.34375,0.0
MD,1995-09-20 20:00:00-04:00,5.5,5.5625,5.3125,5.46875,2330400,5.46875,0.0
MD,1995-09-21 20:00:00-04:00,5.46875,5.5625,5.25,5.34375,1200000,5.34375,0.0
MD,1995-09-24 20:00:00-04:00,5.4375,5.46875,5.3125,5.46875,1520800,5.46875,0.0
MD,1995-09-25 20:00:00-04:00,5.3125,5.46875,5.0625,5.09375,1312800,5.09375,0.0
MD,1995-09-26 20:00:00-04:00,5.0,5.125,4.71875,4.71875,1209200,4.71875,0.0
MD,1995-09-27 20:00:00-04:00,4.8125,5.125,4.8125,5.0,233600,5.0,0.0
MD,1995-09-28 20:00:00-04:00,5.125,5.125,5.0,5.125,532000,5.125,0.0
MD,1995-10-01 20:00:00-04:00,5.09375,5.3125,5.09375,5.125,570400,5.125,0.0
MD,1995-10-02 20:00:00-04:00,5.25,5.25,4.75,4.875,271200,4.875,0.0
MD,1995-10-03 20:00:00-04:00,4.875,5.0,4.8125,4.8125,352000,4.8125,0.0
MD,1995-10-04 20:00:00-04:00,4.8125,5.0,4.8125,5.0,215600,5.0,0.0
MD,1995-10-05 20:00:00-04:00,4.8125,5.0,4.75,4.78125,418800,4.78125,0.0
MD,1995-10-08 20:00:00-04:00,4.78125,4.8125,4.78125,4.8125,296400,4.8125,0.0
MD,1995-10-09 20:00:00-04:00,4.78125,4.8125,4.625,4.625,712400,4.625,0.0
MD,1995-10-10 20:00:00-04:00,4.625,5.0625,4.625,4.9375,666000,4.9375,0.0
MD,1995-10-11 20:00:00-04:00,5.0625,5.0625,4.9375,4.9375,28000,4.9375,0.0
MD,1995-10-12 20:00:00-04:00,5.0,5.125,4.9375,5.0625,806800,5.0625,0.0
MD,1995-10-15 20:00:00-04:00,5.0625,5.0625,4.9375,4.9375,53200,4.9375,0.0
MD,1995-10-16 20:00:00-04:00,4.9375,5.125,4.9375,4.96875,62800,4.96875,0.0
MD,1995-10-17 20:00:00-04:00,4.96875,5.125,4.9375,4.9375,25600,4.9375,0.0
MD,1995-10-18 20:00:00-04:00,4.9375,5.09375,4.90625,4.96875,264000,4.96875,0.0
MD,1995-10-19 20:00:00-04:00,4.875,5.125,4.875,5.125,467600,5.125,0.0
MD,1995-10-22 20:00:00-04:00,5.0,5.125,4.9375,5.125,431200,5.125,0.0
MD,1995-10-23 20:00:00-04:00,4.9375,5.125,4.78125,4.78125,515600,4.78125,0.0
MD,1995-10-24 20:00:00-04:00,4.875,4.9375,4.78125,4.8125,186000,4.8125,0.0
MD,1995-10-25 20:00:00-04:00,4.8125,4.9375,4.8125,4.875,70800,4.875,0.0
MD,1995-10-26 20:00:00-04:00,4.8125,4.9375,4.8125,4.8125,12400,4.8125,0.0
MD,1995-10-29 19:00:00-05:00,4.9375,5.25,4.9375,5.25,310400,5.25,0.0
MD,1995-10-30 19:00:00-05:00,5.3125,5.5,5.25,5.40625,746400,5.40625,0.0
MD,1995-10-31 19:00:00-05:00,5.40625,5.5,5.375,5.4375,691600,5.4375,0.0
MD,1995-11-01 19:00:00-05:00,5.5,5.5625,5.375,5.4375,727200,5.4375,0.0
MD,1995-11-02 19:00:00-05:00,5.375,5.5,5.25,5.375,73200,5.375,0.0
MD,1995-11-05 19:00:00-05:00,5.25,5.375,5.0625,5.09375,86800,5.09375,0.0
MD,1995-11-06 19:00:00-05:00,5.1875,5.1875,4.9375,5.03125,126800,5.03125,0.0
MD,1995-11-07 19:00:00-05:00,5.0625,5.0625,4.9375,4.9375,42800,4.9375,0.0
MD,1995-11-08 19:00:00-05:00,5.0625,5.0625,4.9375,4.9375,102000,4.9375,0.0
MD,1995-11-09 19:00:00-05:00,4.9375,5.0625,4.9375,5.0625,183200,5.0625,0.0
MD,1995-11-12 19:00:00-05:00,5.1875,5.4375,5.125,5.375,135600,5.375,0.0
MD,1995-11-13 19:00:00-05:00,5.5,5.5625,5.3125,5.5625,241200,5.5625,0.0
MD,1995-11-14 19:00:00-05:00,5.46875,5.5625,5.25,5.3125,230000,5.3125,0.0
