symbol,date,open,high,low,close,volume,adjclose,dividends
SPY,1993-01-28 19:00:00-05:00,43.96875,43.96875,43.75,43.9375,1003200,24.684112548828125,0.0
SPY,1993-01-31 19:00:00-05:00,43.96875,44.25,43.96875,44.25,480500,24.859670639038086,0.0
SPY,1993-02-01 19:00:00-05:00,44.21875,44.375,44.125,44.34375,201300,24.912328720092773,0.0
SPY,1993-02-02 19:00:00-05:00,44.40625,44.84375,44.375,44.8125,529400,25.175683975219727,0.0
SPY,1993-02-03 19:00:00-05:00,44.96875,45.09375,44.46875,45.0,531500,25.281024932861328,0.0
SPY,1993-02-04 19:00:00-05:00,44.96875,45.0625,44.71875,44.96875,492100,25.263463973999023,0.0
SPY,1993-02-07 19:00:00-05:00,44.96875,45.125,44.90625,44.96875,596100,25.263463973999023,0.0
SPY,1993-02-08 19:00:00-05:00,44.8125,44.8125,44.5625,44.65625,122100,25.087900161743164,0.0
SPY,1993-02-09 19:00:00-05:00,44.65625,44.75,44.53125,44.71875,379600,25.123008728027344,0.0
SPY,1993-02-10 19:00:00-05:00,44.78125,45.125,44.78125,44.9375,19500,25.245914459228516,0.0
SPY,1993-02-11 19:00:00-05:00,44.875,44.875,44.59375,44.59375,42500,25.052776336669922,0.0
SPY,1993-02-15 19:00:00-05:00,44.46875,44.46875,43.40625,43.46875,374800,24.42076301574707,0.0
SPY,1993-02-16 19:00:00-05:00,43.46875,43.53125,43.28125,43.4375,210900,24.4031925201416,0.0
SPY,1993-02-17 19:00:00-05:00,43.9375,43.9375,42.8125,43.40625,378100,24.385637283325195,0.0
SPY,1993-02-18 19:00:00-05:00,43.40625,43.5625,43.34375,43.5625,34900,24.47342872619629,0.0
SPY,1993-02-21 19:00:00-05:00,43.6875,43.78125,43.5625,43.71875,513600,24.56121063232422,0.0
SPY,1993-02-22 19:00:00-05:00,43.84375,43.875,43.46875,43.6875,373700,24.543655395507812,0.0
SPY,1993-02-23 19:00:00-05:00,43.71875,44.25,43.71875,44.25,26300,24.859670639038086,0.0
SPY,1993-02-24 19:00:00-05:00,44.21875,44.375,44.125,44.34375,44500,24.912328720092773,0.0
SPY,1993-02-25 19:00:00-05:00,44.4375,44.4375,44.1875,44.40625,66200,24.94744873046875,0.0
SPY,1993-02-28 19:00:00-05:00,44.5625,44.5625,44.21875,44.28125,66500,24.877220153808594,0.0
SPY,1993-03-01 19:00:00-05:00,44.3125,44.9375,44.25,44.9375,182400,25.245914459228516,0.0
SPY,1993-03-02 19:00:00-05:00,45.0,45.15625,44.9375,45.125,280100,25.351232528686523,0.0
