date,SGLY_Open,SGLY_High,SGLY_Low,SGLY_Close,SGLY_Volume,SGLY_Dividends,SGLY_Stock Splits
2008-05-21 00:00:00+00:00,750.0,820.0,506.0,699.0,15148,,
2008-05-22 00:00:00+00:00,735.5,1072.5,705.0,1072.5,38780,,
2008-05-23 00:00:00+00:00,1249.0,1374.5,899.0,913.0,64754,,
2008-05-27 00:00:00+00:00,900.0,988.5,779.0,839.5,21342,,
2008-05-28 00:00:00+00:00,871.0,910.0,755.5,769.5,18158,,
2008-05-29 00:00:00+00:00,750.5,849.0,740.0,763.5,14536,,
2008-05-30 00:00:00+00:00,788.5,850.0,725.5,734.0,12828,,
2008-06-02 00:00:00+00:00,735.0,779.5,715.0,731.5,4368,,
2008-06-03 00:00:00+00:00,747.5,748.5,639.0,655.0,6332,,
2008-06-04 00:00:00+00:00,652.5,722.5,637.0,650.0,7674,,
2008-06-05 00:00:00+00:00,665.0,687.0,616.5,637.5,4284,,
2008-06-06 00:00:00+00:00,644.5,662.5,610.0,617.5,2288,,
2008-06-09 00:00:00+00:00,632.5,640.0,562.5,570.0,2518,,
2008-06-10 00:00:00+00:00,559.5,610.0,535.0,584.5,6180,,
2008-06-11 00:00:00+00:00,588.5,589.5,530.5,539.0,2194,,
2008-06-12 00:00:00+00:00,535.5,559.0,495.0,498.5,2964,,
2008-06-13 00:00:00+00:00,501.0,542.5,497.5,531.0,4032,,
2008-06-16 00:00:00+00:00,538.5,624.5,510.0,620.0,6102,,
2008-06-17 00:00:00+00:00,629.0,681.5,605.0,655.5,7888,,
2008-06-18 00:00:00+00:00,644.5,650.0,586.0,606.0,3732,,
2008-06-19 00:00:00+00:00,603.0,609.0,563.0,585.0,1184,,
2008-06-20 00:00:00+00:00,576.5,595.5,557.0,560.5,970,,
2008-06-23 00:00:00+00:00,562.5,569.5,500.0,514.0,1992,,
2008-06-24 00:00:00+00:00,520.5,522.0,486.5,500.0,1330,,
2008-06-25 00:00:00+00:00,502.0,544.5,502.0,523.0,2886,,
2008-06-26 00:00:00+00:00,512.5,512.5,465.0,481.5,1488,,
2008-06-27 00:00:00+00:00,478.5,478.5,450.0,462.0,1040,,
2008-06-30 00:00:00+00:00,460.0,460.0,437.5,442.5,616,,
2008-07-01 00:00:00+00:00,433.5,435.0,395.0,405.0,2180,,
2008-07-02 00:00:00+00:00,405.5,412.0,361.5,373.0,1668,,
2008-07-03 00:00:00+00:00,373.0,382.0,353.0,355.0,930,,
2008-07-07 00:00:00+00:00,360.0,412.5,352.5,390.0,1718,,
2008-07-08 00:00:00+00:00,392.5,396.0,364.0,396.0,454,,
2008-07-09 00:00:00+00:00,410.0,460.5,389.0,408.5,3260,,
2008-07-10 00:00:00+00:00,413.5,434.5,379.0,387.5,910,,
2008-07-11 00:00:00+00:00,378.5,378.5,352.5,354.0,862,,
2008-07-14 00:00:00+00:00,366.5,370.0,337.0,343.5,1166,,
