date,ZEUS_Open,ZEUS_High,ZEUS_Low,ZEUS_Close,ZEUS_Volume,ZEUS_Dividends,ZEUS_Stock Splits
1994-03-10 00:00:00+00:00,16.5,16.5,15.5,13.7172212600708,2071000,0.0,
1994-03-11 00:00:00+00:00,15.5,15.625,15.5,13.7172212600708,178800,0.0,
1994-03-14 00:00:00+00:00,15.625,15.75,15.5,13.7172212600708,133900,0.0,
1994-03-15 00:00:00+00:00,15.75,15.75,15.5,13.938469886779783,287100,0.0,
1994-03-16 00:00:00+00:00,15.75,15.75,15.5,13.7172212600708,203400,0.0,
1994-03-17 00:00:00+00:00,15.5,15.75,15.5,13.7172212600708,49100,0.0,
1994-03-18 00:00:00+00:00,15.75,15.75,15.5,13.7172212600708,159300,0.0,
1994-03-21 00:00:00+00:00,15.75,15.75,15.5,13.82784938812256,90400,0.0,
1994-03-22 00:00:00+00:00,15.5,15.75,15.5,13.7172212600708,150900,0.0,
1994-03-23 00:00:00+00:00,15.75,15.75,15.5,13.938469886779783,242600,0.0,
1994-03-24 00:00:00+00:00,15.5,15.75,15.5,13.7172212600708,48700,0.0,
1994-03-25 00:00:00+00:00,15.5,15.75,15.5,13.7172212600708,33700,0.0,
1994-03-28 00:00:00+00:00,15.5,15.75,15.5,13.7172212600708,74500,0.0,
1994-03-29 00:00:00+00:00,15.5,15.75,14.75,13.05348777770996,105200,0.0,
1994-03-30 00:00:00+00:00,14.5,14.75,13.0,11.504769325256348,104000,0.0,
1994-03-31 00:00:00+00:00,13.0,13.75,13.0,11.615391731262209,73000,0.0,
1994-04-04 00:00:00+00:00,13.0,13.25,12.5,11.504769325256348,31500,0.0,
1994-04-05 00:00:00+00:00,13.5,13.5,12.75,11.726014137268066,154000,0.0,
1994-04-06 00:00:00+00:00,12.75,13.25,12.75,11.726014137268066,22800,0.0,
1994-04-07 00:00:00+00:00,13.25,13.25,12.75,11.504769325256348,33100,0.0,
1994-04-08 00:00:00+00:00,12.75,13.25,12.5,11.062274932861328,16100,0.0,
1994-04-11 00:00:00+00:00,13.0,13.0,12.5,11.062274932861328,41800,0.0,
1994-04-12 00:00:00+00:00,13.0,13.0,12.5,11.062274932861328,93100,0.0,
1994-04-13 00:00:00+00:00,12.5,13.0,12.25,10.841031074523926,18500,0.0,
1994-04-14 00:00:00+00:00,12.25,12.25,12.25,10.841031074523926,500,0.0,
1994-04-15 00:00:00+00:00,12.75,13.0,12.25,11.504769325256348,10000,0.0,
1994-04-18 00:00:00+00:00,13.0,13.0625,12.25,11.062274932861328,32600,0.0,
1994-04-19 00:00:00+00:00,12.75,12.75,12.0,11.062274932861328,9200,0.0,
1994-04-20 00:00:00+00:00,12.5,12.5,11.0,10.177294731140137,35300,0.0,
1994-04-21 00:00:00+00:00,11.5,11.5,11.0,10.177294731140137,8400,0.0,
1994-04-22 00:00:00+00:00,11.5,12.25,11.25,10.841031074523926,306100,0.0,
1994-04-25 00:00:00+00:00,12.375,12.5,11.75,11.062274932861328,45100,0.0,
1994-04-26 00:00:00+00:00,12.5,12.5,12.0,11.062274932861328,22700,0.0,
1994-04-28 00:00:00+00:00,12.5,12.5,12.0,10.951655387878418,16700,0.0,
1994-04-29 00:00:00+00:00,12.5,12.5,11.75,10.398540496826172,15300,0.0,
1994-05-02 00:00:00+00:00,11.75,12.5,11.75,10.398540496826172,152600,0.0,
1994-05-03 00:00:00+00:00,12.25,12.5,11.75,11.062274932861328,7500,0.0,
1994-05-04 00:00:00+00:00,12.5,12.5,11.75,10.398540496826172,13900,0.0,
1994-05-05 00:00:00+00:00,11.75,12.5,11.75,10.398540496826172,156500,0.0,
1994-05-06 00:00:00+00:00,11.75,12.25,11.25,10.398540496826172,6500,0.0,
1994-05-09 00:00:00+00:00,11.25,12.0,10.75,9.513557434082031,21400,0.0,
1994-05-10 00:00:00+00:00,10.75,11.25,10.375,9.513557434082031,46400,0.0,
1994-05-11 00:00:00+00:00,10.75,11.0,10.25,9.071067810058594,63700,0.0,
1994-05-12 00:00:00+00:00,10.25,11.0,10.125,9.513557434082031,496400,0.0,
1994-05-13 00:00:00+00:00,11.0,11.0,10.25,9.624180793762209,29500,0.0,
1994-05-16 00:00:00+00:00,10.25,10.75,10.0,9.071067810058594,32800,0.0,
1994-05-17 00:00:00+00:00,10.75,10.75,10.0,9.292314529418944,100900,0.0,
