symbol,date,open,high,low,close,volume,adjclose,splits
BKKT,2020-11-19,275.0,275.0,275.0,275.0,20,275.0,0.0
BKKT,2020-11-20,240.0,240.0,240.0,240.0,20,240.0,0.0
BKKT,2020-11-23,262.5,262.5,241.25,241.25,10060,241.25,0.0
BKKT,2020-11-24,242.5,243.75,242.5,242.5,16040,242.5,0.0
BKKT,2020-11-25,247.5,248.75,246.3249969482422,247.5,28,247.5,0.0
BKKT,2020-11-27,247.5,247.5,247.5,247.5,4,247.5,0.0
BKKT,2020-11-30,245.0,245.25,242.9250030517578,243.75,14100,243.75,0.0
BKKT,2020-12-01,248.75,252.5,242.5,242.5,200,242.5,0.0
BKKT,2020-12-02,245.125,250.0,242.5,242.75,52,242.75,0.0
BKKT,2020-12-03,242.75,245.0,242.75,243.75,2112,243.75,0.0
BKKT,2020-12-04,243.75,243.75,243.75,243.75,1240,243.75,0.0
BKKT,2020-12-07,246.25,250.375,246.25,250.375,2404,250.375,0.0
BKKT,2020-12-08,247.5,247.5,247.25,247.5,1136,247.5,0.0
BKKT,2020-12-09,250.60000610351562,253.0500030517578,250.0,250.0,6828,250.0,0.0
BKKT,2020-12-10,246.75,250.0,246.75,249.0,4928,249.0,0.0
BKKT,2020-12-11,250.0,252.5,250.0,250.0,284,250.0,0.0
BKKT,2020-12-14,254.5,255.25,248.5,250.0,8096,250.0,0.0
BKKT,2020-12-15,250.0,250.25,250.0,250.25,4264,250.25,0.0
BKKT,2020-12-16,255.60000610351562,255.75,250.0,250.25,2128,250.25,0.0
BKKT,2020-12-17,253.0,253.0,250.25,250.5,1952,250.5,0.0
BKKT,2020-12-18,253.5,253.75,251.25,251.25,368,251.25,0.0
BKKT,2020-12-21,250.75,251.25,250.75,251.25,144,251.25,0.0
BKKT,2020-12-22,252.5,252.5,252.5,252.5,8,252.5,0.0
BKKT,2020-12-23,253.5,255.27499389648438,253.5,255.27499389648438,932,255.27499389648438,0.0
BKKT,2020-12-24,255.27499389648438,255.27499389648438,255.27499389648438,255.27499389648438,4,255.27499389648438,0.0
BKKT,2020-12-28,252.5,253.0,248.75,248.75,968,248.75,0.0
BKKT,2020-12-29,250.625,251.25,248.75,250.0,572,250.0,0.0
BKKT,2020-12-30,252.5,252.5,250.25,250.25,160,250.25,0.0
BKKT,2020-12-31,250.5,254.375,250.5,252.0,172,252.0,0.0
BKKT,2021-01-04,256.0,257.25,256.0,256.25,216,256.25,0.0
BKKT,2021-01-05,257.5,257.5,253.75,257.0,424,257.0,0.0
BKKT,2021-01-06,256.75,257.5,254.25,254.25,892,254.25,0.0
BKKT,2021-01-07,256.625,261.25,256.625,260.25,1576,260.25,0.0
BKKT,2021-01-08,406.75,425.0,364.75,412.0,197908,412.0,0.0
BKKT,2021-01-11,387.875,390.25,364.57501220703125,375.0,262844,375.0,0.0
BKKT,2021-01-12,394.25,458.75,391.0,432.5,231176,432.5,0.0
BKKT,2021-01-13,433.75,438.75,387.5,394.0,124128,394.0,0.0
BKKT,2021-01-14,411.75,418.75,376.25,385.0,103680,385.0,0.0
BKKT,2021-01-15,390.0,395.75,352.0,360.5,91512,360.5,0.0
BKKT,2021-01-19,371.125,377.5,355.0,365.25,111276,365.25,0.0
BKKT,2021-01-20,368.25,376.25,349.25,364.25,77732,364.25,0.0
BKKT,2021-01-21,362.5,381.25,359.5249938964844,372.25,87400,372.25,0.0
BKKT,2021-01-22,364.25,387.0,364.25,375.5,56496,375.5,0.0
BKKT,2021-01-25,394.0,395.5,365.0,377.5,92888,377.5,0.0
BKKT,2021-01-26,375.25,383.125,370.0,372.75,53792,372.75,0.0
BKKT,2021-01-27,371.0,372.75,333.8500061035156,336.5,122680,336.5,0.0
BKKT,2021-01-28,350.0,357.5,345.0,349.25,39588,349.25,0.0
BKKT,2021-01-29,366.25,381.25,351.75,373.25,64996,373.25,0.0
BKKT,2021-02-01,370.0,387.5,369.25,375.0,42536,375.0,0.0
BKKT,2021-02-02,375.0,380.75,363.75,372.25,25700,372.25,0.0
BKKT,2021-02-03,375.0,431.25,375.0,419.0,64000,419.0,0.0
BKKT,2021-02-04,419.75,425.0,393.75,414.75,46092,414.75,0.0
BKKT,2021-02-05,425.0,440.0,413.75,423.0,21572,423.0,0.0
BKKT,2021-02-08,474.75,506.5,460.0,475.25,68272,475.25,0.0
BKKT,2021-02-09,494.25,494.25,448.75,489.75,33108,489.75,0.0
BKKT,2021-02-10,495.5,497.625,441.5,447.5,52424,447.5,0.0
BKKT,2021-02-11,471.5,474.75,439.75,452.0,27208,452.0,0.0
BKKT,2021-02-12,438.0,462.5,431.25,456.25,20952,456.25,0.0
BKKT,2021-02-16,473.5,498.0,463.0,471.75,29920,471.75,0.0
BKKT,2021-02-17,487.5,490.375,429.75,460.75,50052,460.75,0.0
BKKT,2021-02-18,442.0,564.0,439.0,475.0,95584,475.0,0.0
BKKT,2021-02-19,489.5,495.0,463.5,468.25,38052,468.25,0.0
BKKT,2021-02-22,421.5,462.5,410.0,442.5,50712,442.5,0.0
BKKT,2021-02-23,390.75,399.25,371.0,385.25,84232,385.25,0.0
BKKT,2021-02-24,371.25,397.75,370.0,377.5,25580,377.5,0.0
BKKT,2021-02-25,382.0,420.0,364.0,372.75,49888,372.75,0.0
BKKT,2021-02-26,365.0,381.25,360.25,374.25,22216,374.25,0.0
BKKT,2021-03-01,389.0,393.75,378.75,386.25,13240,386.25,0.0
BKKT,2021-03-02,396.75,407.25,370.0,375.5,27552,375.5,0.0
BKKT,2021-03-03,378.0,389.75,342.25,345.25,37820,345.25,0.0
BKKT,2021-03-04,336.25,354.5,308.75,316.0,58248,316.0,0.0
BKKT,2021-03-05,341.25,348.75,295.5,334.75,43616,334.75,0.0
BKKT,2021-03-08,335.0,345.0,304.0,313.5,44936,313.5,0.0
BKKT,2021-03-09,332.0,357.25,321.25,347.5,27276,347.5,0.0
BKKT,2021-03-10,363.5,380.75,350.0,365.25,44404,365.25,0.0
BKKT,2021-03-11,375.0,393.75,372.25,382.5,43816,382.5,0.0
BKKT,2021-03-12,361.5,372.25,350.0,366.75,14524,366.75,0.0
BKKT,2021-03-15,362.25,368.75,351.5,363.0,21336,363.0,0.0
BKKT,2021-03-16,367.5,380.0,356.0,366.5,16468,366.5,0.0
BKKT,2021-03-17,362.5,376.75,348.0,376.75,11816,376.75,0.0
BKKT,2021-03-18,369.0,372.25,346.5,350.75,10788,350.75,0.0
BKKT,2021-03-19,358.3500061035156,367.0,332.75,341.25,14652,341.25,0.0
BKKT,2021-03-22,347.25,352.25,335.375,338.5,6464,338.5,0.0
BKKT,2021-03-23,340.0,361.25,315.75,351.25,40700,351.25,0.0
BKKT,2021-03-24,351.25,360.5,316.0,321.25,31040,321.25,0.0
BKKT,2021-03-25,314.75,329.0,304.0,324.0,22276,324.0,0.0
BKKT,2021-03-26,321.0,340.875,317.5,318.75,50196,318.75,0.0
BKKT,2021-03-29,320.25,325.0,293.07501220703125,298.0,25292,298.0,0.0
BKKT,2021-03-30,291.25,317.5,287.5,312.0,24668,312.0,0.0
BKKT,2021-03-31,312.5,327.5,312.5,324.75,11580,324.75,0.0
BKKT,2021-04-01,337.5,357.0,337.5,351.5,23744,351.5,0.0
BKKT,2021-04-05,371.75,371.75,348.5,351.0,19096,351.0,0.0
BKKT,2021-04-06,352.25,359.75,341.0,345.5,19028,345.5,0.0
BKKT,2021-04-07,347.25,355.75,341.25,348.75,17676,348.75,0.0
BKKT,2021-04-08,354.25,370.25,352.75,370.25,21324,370.25,0.0
BKKT,2021-04-09,366.25,368.5,351.5,356.25,11880,356.25,0.0
BKKT,2021-04-12,367.0,385.75,362.0,374.75,39808,374.75,0.0
BKKT,2021-04-13,375.75,386.25,362.25,377.75,32204,377.75,0.0
BKKT,2021-04-14,397.5,399.5,328.5,332.0,91300,332.0,0.0
BKKT,2021-04-15,333.75,335.0,295.0,309.25,67624,309.25,0.0
BKKT,2021-04-16,303.5,308.0,285.0,292.25,33164,292.25,0.0
BKKT,2021-04-19,282.0,283.75,262.75,263.0,57096,263.0,0.0
BKKT,2021-04-20,263.75,278.25,258.75,264.25,20952,264.25,0.0
BKKT,2021-04-21,260.5,277.25,259.5,272.25,21584,272.25,0.0
BKKT,2021-04-22,272.25,280.25,262.25,270.25,15312,270.25,0.0
BKKT,2021-04-23,267.75,274.5,267.0,273.0,9616,273.0,0.0
BKKT,2021-04-26,274.25,280.25,270.0,271.5,11648,271.5,0.0
BKKT,2021-04-27,272.5,280.75,271.25,272.75,7892,272.75,0.0
BKKT,2021-04-28,272.625,278.0,271.75,276.25,9068,276.25,0.0
BKKT,2021-04-29,283.5,287.5,267.5,269.0,12740,269.0,0.0
BKKT,2021-04-30,267.5,273.5,267.5,273.5,6420,273.5,0.0
BKKT,2021-05-03,272.75,272.75,265.25,268.0,15160,268.0,0.0
BKKT,2021-05-04,264.75,270.375,258.25,268.25,14128,268.25,0.0
BKKT,2021-05-05,267.75,284.25,266.25,271.25,10012,271.25,0.0
BKKT,2021-05-06,270.0,272.8999938964844,260.25,266.75,11896,266.75,0.0
BKKT,2021-05-07,263.5,280.0,263.5,274.75,13092,274.75,0.0
BKKT,2021-05-10,275.0,278.0,263.75,265.25,5400,265.25,0.0
BKKT,2021-05-11,256.25,264.0,252.75,262.75,17124,262.75,0.0
BKKT,2021-05-12,258.75,265.5,254.75,255.0,11280,255.0,0.0
BKKT,2021-05-13,257.25,259.5,253.75,256.0,15316,256.0,0.0
BKKT,2021-05-14,255.25,260.75,255.0,256.5,5548,256.5,0.0
BKKT,2021-05-17,253.75,257.75,253.5,257.75,7616,257.75,0.0
BKKT,2021-05-18,258.0,258.0,254.125,254.5,6636,254.5,0.0
BKKT,2021-05-19,250.5,257.5,249.0,252.5,18880,252.5,0.0
