symbol,date,open,high,low,close,volume,adjclose,splits
NVAX,1995-12-04 19:00:00-05:00,67.5,85.0,67.5,80.0,3595,80.0,0.0
NVAX,1995-12-05 19:00:00-05:00,82.5,87.5,82.5,85.0,340,85.0,0.0
NVAX,1995-12-06 19:00:00-05:00,87.5,90.0,77.5,90.0,750,90.0,0.0
NVAX,1995-12-07 19:00:00-05:00,92.5,92.5,82.5,82.5,295,82.5,0.0
NVAX,1995-12-10 19:00:00-05:00,85.0,87.5,85.0,87.5,75,87.5,0.0
NVAX,1995-12-11 19:00:00-05:00,90.0,100.0,90.0,95.0,325,95.0,0.0
NVAX,1995-12-12 19:00:00-05:00,92.5,92.5,75.0,77.5,3475,77.5,0.0
NVAX,1995-12-13 19:00:00-05:00,76.25,78.75,71.25,75.0,1195,75.0,0.0
NVAX,1995-12-14 19:00:00-05:00,77.5,77.5,62.5,67.5,1180,67.5,0.0
NVAX,1995-12-17 19:00:00-05:00,67.5,68.75,60.0,67.5,1250,67.5,0.0
NVAX,1995-12-18 19:00:00-05:00,70.0,70.0,65.0,66.25,2395,66.25,0.0
NVAX,1995-12-19 19:00:00-05:00,65.0,80.0,65.0,72.5,4030,72.5,0.0
NVAX,1995-12-20 19:00:00-05:00,70.0,85.0,70.0,82.5,4205,82.5,0.0
NVAX,1995-12-21 19:00:00-05:00,80.0,80.0,72.5,73.75,1720,73.75,0.0
NVAX,1995-12-25 19:00:00-05:00,72.5,75.0,67.5,70.0,2840,70.0,0.0
NVAX,1995-12-26 19:00:00-05:00,72.5,73.75,68.75,70.0,2040,70.0,0.0
NVAX,1995-12-27 19:00:00-05:00,70.0,72.5,67.5,72.5,1480,72.5,0.0
NVAX,1995-12-28 19:00:00-05:00,70.0,75.0,67.5,75.0,6020,75.0,0.0
NVAX,1996-01-01 19:00:00-05:00,72.5,80.0,72.5,80.0,3825,80.0,0.0
NVAX,1996-01-02 19:00:00-05:00,80.0,81.25,78.75,80.0,4085,80.0,0.0
NVAX,1996-01-03 19:00:00-05:00,80.0,81.25,77.5,77.5,3220,77.5,0.0
NVAX,1996-01-04 19:00:00-05:00,77.5,77.5,75.0,77.5,565,77.5,0.0
NVAX,1996-01-07 19:00:00-05:00,75.0,75.0,75.0,75.0,155,75.0,0.0
NVAX,1996-01-08 19:00:00-05:00,75.0,80.0,73.75,77.5,1105,77.5,0.0
NVAX,1996-01-09 19:00:00-05:00,72.5,75.0,70.0,70.0,1150,70.0,0.0
NVAX,1996-01-10 19:00:00-05:00,72.5,72.5,68.75,70.0,1590,70.0,0.0
NVAX,1996-01-11 19:00:00-05:00,70.0,70.0,67.5,68.75,630,68.75,0.0
NVAX,1996-01-14 19:00:00-05:00,71.25,72.5,68.75,71.25,1840,71.25,0.0
NVAX,1996-01-15 19:00:00-05:00,71.25,71.25,67.5,70.0,910,70.0,0.0
NVAX,1996-01-16 19:00:00-05:00,68.75,70.0,65.0,70.0,1870,70.0,0.0
NVAX,1996-01-17 19:00:00-05:00,70.0,72.5,68.75,71.25,3140,71.25,0.0
NVAX,1996-01-18 19:00:00-05:00,71.25,73.75,70.0,71.25,1750,71.25,0.0
NVAX,1996-01-21 19:00:00-05:00,71.25,75.0,70.0,72.5,950,72.5,0.0
NVAX,1996-01-22 19:00:00-05:00,72.5,75.0,68.75,73.75,1430,73.75,0.0
NVAX,1996-01-23 19:00:00-05:00,75.0,80.0,72.5,80.0,1495,80.0,0.0
NVAX,1996-01-24 19:00:00-05:00,78.75,85.0,75.0,85.0,5090,85.0,0.0
NVAX,1996-01-25 19:00:00-05:00,85.0,97.5,83.75,95.0,5745,95.0,0.0
NVAX,1996-01-28 19:00:00-05:00,96.25,101.25,92.5,96.25,3085,96.25,0.0
NVAX,1996-01-29 19:00:00-05:00,96.25,97.5,93.75,96.25,670,96.25,0.0
NVAX,1996-01-30 19:00:00-05:00,96.25,97.5,92.5,95.0,610,95.0,0.0
NVAX,1996-01-31 19:00:00-05:00,96.25,96.25,91.25,91.25,955,91.25,0.0
NVAX,1996-02-01 19:00:00-05:00,90.0,92.5,87.5,91.25,1270,91.25,0.0
NVAX,1996-02-04 19:00:00-05:00,91.25,91.25,86.25,90.0,555,90.0,0.0
NVAX,1996-02-05 19:00:00-05:00,91.25,95.0,91.25,95.0,1290,95.0,0.0
NVAX,1996-02-06 19:00:00-05:00,93.75,100.0,90.0,100.0,3270,100.0,0.0
NVAX,1996-02-07 19:00:00-05:00,100.0,103.75,97.5,98.75,3405,98.75,0.0
NVAX,1996-02-08 19:00:00-05:00,96.25,98.75,96.25,98.75,1065,98.75,0.0
NVAX,1996-02-11 19:00:00-05:00,98.75,101.25,96.25,97.5,3835,97.5,0.0
NVAX,1996-02-12 19:00:00-05:00,96.25,103.75,96.25,102.5,3185,102.5,0.0
NVAX,1996-02-13 19:00:00-05:00,102.5,108.75,102.5,105.0,5260,105.0,0.0
NVAX,1996-02-14 19:00:00-05:00,105.0,110.0,103.75,108.75,3165,108.75,0.0
NVAX,1996-02-15 19:00:00-05:00,108.75,125.0,108.75,121.25,3305,121.25,0.0
NVAX,1996-02-19 19:00:00-05:00,123.75,132.5,120.0,122.5,5455,122.5,0.0
NVAX,1996-02-20 19:00:00-05:00,121.25,131.25,120.0,128.75,4925,128.75,0.0
NVAX,1996-02-21 19:00:00-05:00,127.5,130.0,123.75,123.75,3760,123.75,0.0
NVAX,1996-02-22 19:00:00-05:00,122.5,123.75,120.0,120.0,2740,120.0,0.0
NVAX,1996-02-25 19:00:00-05:00,121.25,125.0,121.25,122.5,3400,122.5,0.0
NVAX,1996-02-26 19:00:00-05:00,122.5,122.5,116.25,117.5,2255,117.5,0.0
NVAX,1996-02-27 19:00:00-05:00,117.5,118.75,115.0,116.25,1400,116.25,0.0
NVAX,1996-02-28 19:00:00-05:00,118.75,118.75,113.75,117.5,2895,117.5,0.0
NVAX,1996-02-29 19:00:00-05:00,117.5,117.5,111.25,115.0,985,115.0,0.0
NVAX,1996-03-03 19:00:00-05:00,116.25,116.25,112.5,112.5,855,112.5,0.0
NVAX,1996-03-04 19:00:00-05:00,112.5,115.0,112.5,115.0,820,115.0,0.0
NVAX,1996-03-05 19:00:00-05:00,113.75,113.75,112.5,112.5,795,112.5,0.0
NVAX,1996-03-06 19:00:00-05:00,112.5,115.0,112.5,113.75,1015,113.75,0.0
NVAX,1996-03-07 19:00:00-05:00,111.25,112.5,105.0,107.5,1590,107.5,0.0
NVAX,1996-03-10 19:00:00-05:00,107.5,113.75,107.5,113.75,985,113.75,0.0
NVAX,1996-03-11 19:00:00-05:00,113.75,113.75,110.0,110.0,265,110.0,0.0
NVAX,1996-03-12 19:00:00-05:00,113.75,113.75,108.75,111.25,1295,111.25,0.0
NVAX,1996-03-13 19:00:00-05:00,110.0,111.25,107.5,107.5,1300,107.5,0.0
NVAX,1996-03-14 19:00:00-05:00,106.25,107.5,105.0,105.0,220,105.0,0.0
NVAX,1996-03-17 19:00:00-05:00,105.0,110.0,102.5,107.5,630,107.5,0.0
NVAX,1996-03-18 19:00:00-05:00,107.5,115.0,107.5,115.0,1555,115.0,0.0
NVAX,1996-03-19 19:00:00-05:00,116.25,116.25,115.0,116.25,1365,116.25,0.0
NVAX,1996-03-20 19:00:00-05:00,117.5,126.25,117.5,120.0,4710,120.0,0.0
NVAX,1996-03-21 19:00:00-05:00,120.0,121.25,118.75,118.75,1120,118.75,0.0
NVAX,1996-03-24 19:00:00-05:00,118.75,121.25,117.5,117.5,665,117.5,0.0
NVAX,1996-03-25 19:00:00-05:00,117.5,117.5,115.0,116.25,635,116.25,0.0
NVAX,1996-03-26 19:00:00-05:00,117.5,118.75,116.25,117.5,605,117.5,0.0
NVAX,1996-03-27 19:00:00-05:00,117.5,121.25,117.5,121.25,2060,121.25,0.0
NVAX,1996-03-28 19:00:00-05:00,120.0,122.5,117.5,122.5,1470,122.5,0.0
NVAX,1996-03-31 19:00:00-05:00,120.0,122.5,112.5,113.75,1545,113.75,0.0
NVAX,1996-04-01 19:00:00-05:00,112.5,120.0,110.0,118.75,995,118.75,0.0
NVAX,1996-04-02 19:00:00-05:00,117.5,117.5,116.25,116.25,535,116.25,0.0
NVAX,1996-04-03 19:00:00-05:00,115.0,121.25,115.0,120.0,1095,120.0,0.0
NVAX,1996-04-07 20:00:00-04:00,117.5,120.0,115.0,115.0,470,115.0,0.0
NVAX,1996-04-08 20:00:00-04:00,115.0,116.25,112.5,113.75,330,113.75,0.0
NVAX,1996-04-09 20:00:00-04:00,115.0,118.75,112.5,112.5,1405,112.5,0.0
NVAX,1996-04-10 20:00:00-04:00,115.0,115.0,110.0,111.25,570,111.25,0.0
NVAX,1996-04-11 20:00:00-04:00,110.0,111.25,107.5,110.0,835,110.0,0.0
NVAX,1996-04-14 20:00:00-04:00,110.0,110.0,105.0,107.5,810,107.5,0.0
NVAX,1996-04-15 20:00:00-04:00,110.0,112.5,107.5,111.25,755,111.25,0.0
NVAX,1996-04-16 20:00:00-04:00,108.75,111.25,108.75,111.25,415,111.25,0.0
NVAX,1996-04-17 20:00:00-04:00,111.25,111.25,108.75,111.25,770,111.25,0.0
NVAX,1996-04-18 20:00:00-04:00,110.0,118.75,107.5,118.75,1960,118.75,0.0
NVAX,1996-04-21 20:00:00-04:00,120.0,121.25,115.0,120.0,2915,120.0,0.0
NVAX,1996-04-22 20:00:00-04:00,120.0,121.25,115.0,120.0,1500,120.0,0.0
NVAX,1996-04-23 20:00:00-04:00,120.0,121.25,118.75,121.25,575,121.25,0.0
NVAX,1996-04-24 20:00:00-04:00,120.0,121.25,117.5,117.5,960,117.5,0.0
NVAX,1996-04-25 20:00:00-04:00,118.75,120.0,116.25,117.5,715,117.5,0.0
NVAX,1996-04-28 20:00:00-04:00,115.0,122.5,115.0,120.0,2565,120.0,0.0
NVAX,1996-04-29 20:00:00-04:00,120.0,122.5,117.5,117.5,1615,117.5,0.0
NVAX,1996-04-30 20:00:00-04:00,117.5,121.25,115.0,120.0,1745,120.0,0.0
NVAX,1996-05-01 20:00:00-04:00,117.5,132.5,117.5,127.5,5350,127.5,0.0
NVAX,1996-05-02 20:00:00-04:00,130.0,130.0,125.0,127.5,1860,127.5,0.0
NVAX,1996-05-05 20:00:00-04:00,122.5,133.75,122.5,126.25,3345,126.25,0.0
NVAX,1996-05-06 20:00:00-04:00,123.75,138.75,123.75,137.5,9850,137.5,0.0
NVAX,1996-05-07 20:00:00-04:00,136.25,150.0,135.0,150.0,11495,150.0,0.0
NVAX,1996-05-08 20:00:00-04:00,150.0,150.0,140.0,143.75,3560,143.75,0.0
NVAX,1996-05-09 20:00:00-04:00,143.75,147.5,137.5,142.5,2320,142.5,0.0
NVAX,1996-05-12 20:00:00-04:00,141.25,142.5,137.5,140.0,990,140.0,0.0
NVAX,1996-05-13 20:00:00-04:00,138.75,141.25,130.0,133.75,3530,133.75,0.0
NVAX,1996-05-14 20:00:00-04:00,135.0,137.5,132.5,133.75,2165,133.75,0.0
