symbol,date,open,high,low,close,volume,adjclose,dividends
TGS,1994-11-16 19:00:00-05:00,10.875,11.0,10.875,11.0,14600,2.515601396560669,0.0
TGS,1994-11-17 19:00:00-05:00,10.875,10.875,10.625,10.625,3500,2.429842710494995,0.0
TGS,1994-11-20 19:00:00-05:00,10.75,10.75,10.125,10.125,25500,2.3154962062835693,0.0
TGS,1994-11-21 19:00:00-05:00,10.125,10.25,10.125,10.25,8000,2.344082832336426,0.0
TGS,1994-11-22 19:00:00-05:00,10.25,10.375,10.25,10.375,34000,2.372668981552124,0.0
TGS,1994-11-24 19:00:00-05:00,10.5,10.5,10.5,10.5,6000,2.4012560844421387,0.0
TGS,1994-11-27 19:00:00-05:00,10.5,10.5,10.5,10.5,4000,2.4012560844421387,0.0
TGS,1994-11-28 19:00:00-05:00,10.5,10.75,10.5,10.75,7900,2.4584286212921143,0.0
TGS,1994-11-29 19:00:00-05:00,10.875,11.25,10.875,11.125,48700,2.5441880226135254,0.0
TGS,1994-11-30 19:00:00-05:00,11.0,11.0,10.875,10.875,9000,2.4870152473449707,0.0
TGS,1994-12-01 19:00:00-05:00,10.75,11.125,10.75,11.0,139600,2.515601396560669,0.0
TGS,1994-12-04 19:00:00-05:00,11.0,11.0,10.75,10.75,14400,2.4584286212921143,0.0
TGS,1994-12-05 19:00:00-05:00,10.625,10.625,10.5,10.625,12500,2.429842710494995,0.0
TGS,1994-12-06 19:00:00-05:00,10.25,10.5,10.25,10.375,109500,2.372668981552124,0.0
TGS,1994-12-07 19:00:00-05:00,10.25,10.25,10.25,10.25,100,2.344082832336426,0.0
TGS,1994-12-08 19:00:00-05:00,10.0,10.25,10.0,10.0,83200,2.28691029548645,0.0
TGS,1994-12-11 19:00:00-05:00,10.125,10.125,10.0,10.125,56300,2.3154962062835693,0.0
TGS,1994-12-12 19:00:00-05:00,10.125,10.25,10.0,10.25,115000,2.344082832336426,0.0
TGS,1994-12-13 19:00:00-05:00,10.125,10.25,10.125,10.25,60800,2.344082832336426,0.0
TGS,1994-12-14 19:00:00-05:00,10.25,10.5,10.25,10.5,29000,2.4012560844421387,0.0
TGS,1994-12-15 19:00:00-05:00,10.375,10.875,10.375,10.625,52000,2.429842710494995,0.0
TGS,1994-12-18 19:00:00-05:00,10.625,10.625,10.625,10.625,25500,2.429842710494995,0.0
TGS,1994-12-19 19:00:00-05:00,10.375,10.375,10.25,10.25,8000,2.344082832336426,0.0
TGS,1994-12-20 19:00:00-05:00,10.0,10.0,9.0,9.75,107200,2.2297377586364746,0.0
TGS,1994-12-21 19:00:00-05:00,9.125,9.625,8.875,9.5,212700,2.172564744949341,0.0
TGS,1994-12-22 19:00:00-05:00,9.625,10.0,9.625,9.875,20000,2.258324384689331,0.0
TGS,1994-12-26 19:00:00-05:00,9.625,9.625,9.125,9.125,70500,2.086805820465088,0.0
TGS,1994-12-27 19:00:00-05:00,9.125,9.125,8.875,9.0,33200,2.0582191944122314,0.0
TGS,1994-12-28 19:00:00-05:00,9.25,9.375,8.75,9.25,91000,2.1153922080993652,0.0
TGS,1994-12-29 19:00:00-05:00,9.375,9.5,9.375,9.375,3000,2.1439788341522217,0.0
TGS,1995-01-02 19:00:00-05:00,9.25,9.25,9.0,9.25,51400,2.1153922080993652,0.0
TGS,1995-01-03 19:00:00-05:00,9.25,9.375,8.75,9.0,48900,2.0582191944122314,0.0
TGS,1995-01-04 19:00:00-05:00,8.875,9.0,8.75,8.75,49200,2.0010464191436768,0.0
TGS,1995-01-05 19:00:00-05:00,8.875,8.875,8.75,8.75,70300,2.0010464191436768,0.0
