symbol,date,open,high,low,close,volume,adjclose,dividends
WINA,1993-08-24 20:00:00-04:00,12.75,15.25,12.0,15.0,1186400,11.324386596679688,0.0
WINA,1993-08-25 20:00:00-04:00,15.25,15.25,13.75,14.5,428000,10.946904182434082,0.0
WINA,1993-08-26 20:00:00-04:00,14.5,15.25,14.0,14.25,203300,10.758164405822754,0.0
WINA,1993-08-29 20:00:00-04:00,14.5,15.0,13.75,14.0,63100,10.569425582885742,0.0
WINA,1993-08-30 20:00:00-04:00,14.25,14.25,13.75,14.0,134600,10.569425582885742,0.0
WINA,1993-08-31 20:00:00-04:00,14.25,15.75,13.75,15.25,173800,11.513124465942383,0.0
WINA,1993-09-01 20:00:00-04:00,15.25,15.75,15.0,15.0,258600,11.324386596679688,0.0
WINA,1993-09-02 20:00:00-04:00,15.5,15.5,15.0,15.0,65800,11.324386596679688,0.0
WINA,1993-09-06 20:00:00-04:00,15.5,15.5,15.0,15.0,102300,11.324386596679688,0.0
WINA,1993-09-07 20:00:00-04:00,14.75,15.75,14.75,15.625,82300,11.796234130859375,0.0
WINA,1993-09-08 20:00:00-04:00,16.0,16.0,15.5,15.5,19800,11.701862335205078,0.0
WINA,1993-09-09 20:00:00-04:00,16.0,17.75,15.5,16.5,112300,12.45682430267334,0.0
WINA,1993-09-12 20:00:00-04:00,16.75,16.75,16.25,16.25,131900,12.268082618713379,0.0
WINA,1993-09-13 20:00:00-04:00,15.75,16.5,15.75,16.5,50400,12.45682430267334,0.0
WINA,1993-09-14 20:00:00-04:00,16.5,17.0,16.0,16.875,121200,12.739930152893066,0.0
WINA,1993-09-15 20:00:00-04:00,17.0,17.0,16.5,17.0,43900,12.834301948547363,0.0
WINA,1993-09-16 20:00:00-04:00,17.0,17.0,16.5,16.75,18400,12.645565032958984,0.0
WINA,1993-09-19 20:00:00-04:00,17.0,17.0,16.5,16.5,23900,12.45682430267334,0.0
WINA,1993-09-20 20:00:00-04:00,16.5,17.0,16.25,16.25,104600,12.268082618713379,0.0
WINA,1993-09-21 20:00:00-04:00,16.75,16.75,16.25,16.75,19600,12.645565032958984,0.0
WINA,1993-09-22 20:00:00-04:00,16.75,16.75,16.25,16.75,9400,12.645565032958984,0.0
WINA,1993-09-23 20:00:00-04:00,16.75,16.75,15.0,15.0,98900,11.324386596679688,0.0
WINA,1993-09-26 20:00:00-04:00,15.75,15.75,15.0,15.25,73100,11.513124465942383,0.0
WINA,1993-09-27 20:00:00-04:00,16.0,16.25,15.5,16.25,23900,12.268082618713379,0.0
WINA,1993-09-28 20:00:00-04:00,16.25,16.5,15.75,16.5,15700,12.45682430267334,0.0
WINA,1993-09-29 20:00:00-04:00,16.5,17.25,16.25,17.25,44200,13.023040771484375,0.0
WINA,1993-09-30 20:00:00-04:00,17.0,17.75,16.5,17.25,21400,13.023040771484375,0.0
WINA,1993-10-03 20:00:00-04:00,17.5,18.5,17.25,18.5,53600,13.966739654541016,0.0
WINA,1993-10-04 20:00:00-04:00,18.5,19.5,18.0,18.75,58000,14.155477523803711,0.0
WINA,1993-10-05 20:00:00-04:00,19.25,19.25,18.75,18.75,30700,14.155477523803711,0.0
WINA,1993-10-06 20:00:00-04:00,19.25,20.25,18.75,19.25,52600,14.532960891723633,0.0
WINA,1993-10-07 20:00:00-04:00,19.75,19.75,18.125,19.0,85800,14.34421443939209,0.0
WINA,1993-10-10 20:00:00-04:00,18.5,19.0,18.5,18.5,3300,13.966739654541016,0.0
WINA,1993-10-11 20:00:00-04:00,18.5,19.75,18.5,19.75,55300,14.910442352294922,0.0
WINA,1993-10-12 20:00:00-04:00,20.25,20.25,18.75,19.5,24300,14.721697807312012,0.0
WINA,1993-10-13 20:00:00-04:00,18.75,19.5,18.75,19.25,52000,14.532960891723633,0.0
WINA,1993-10-14 20:00:00-04:00,19.5,19.5,19.0,19.0,11500,14.34421443939209,0.0
WINA,1993-10-17 20:00:00-04:00,19.5,19.5,18.375,19.0,22800,14.34421443939209,0.0
WINA,1993-10-18 20:00:00-04:00,18.25,19.0,18.125,18.5,13000,13.966739654541016,0.0
WINA,1993-10-19 20:00:00-04:00,18.5,18.5,17.25,18.0,37400,13.589259147644043,0.0
WINA,1993-10-20 20:00:00-04:00,17.5,18.0,17.5,17.5,23800,13.211780548095703,0.0
WINA,1993-10-21 20:00:00-04:00,17.5,18.0,17.0,17.5,37700,13.211780548095703,0.0
WINA,1993-10-24 20:00:00-04:00,17.0,17.5,15.25,15.75,88400,11.890600204467773,0.0
WINA,1993-10-25 20:00:00-04:00,15.5,16.25,15.25,16.0,128100,12.07934284210205,0.0
WINA,1993-10-26 20:00:00-04:00,16.0,17.0,15.5,17.0,44500,12.834301948547363,0.0
WINA,1993-10-27 20:00:00-04:00,16.5,18.25,16.5,17.875,19300,13.494891166687012,0.0
WINA,1993-10-28 20:00:00-04:00,18.25,19.0,17.5,18.5,57400,13.966739654541016,0.0
WINA,1993-10-31 19:00:00-05:00,19.0,19.0,18.5,18.5,20600,13.966739654541016,0.0
WINA,1993-11-01 19:00:00-05:00,18.75,18.75,17.75,18.375,24600,13.872370719909668,0.0
WINA,1993-11-02 19:00:00-05:00,18.75,18.75,17.25,17.25,19900,13.023040771484375,0.0
WINA,1993-11-03 19:00:00-05:00,17.75,17.75,16.0,16.25,41200,12.268082618713379,0.0
WINA,1993-11-04 19:00:00-05:00,16.25,17.0,15.75,17.0,17300,12.834301948547363,0.0
WINA,1993-11-07 19:00:00-05:00,17.25,17.25,16.75,17.0,12000,12.834301948547363,0.0
WINA,1993-11-08 19:00:00-05:00,17.25,17.25,16.5,17.0,31700,12.834301948547363,0.0
WINA,1993-11-09 19:00:00-05:00,17.0,17.5,16.5,17.5,28200,13.211780548095703,0.0
